lib total_size num_regions memsync_time rcuda_time local_time nvidia_time other_time
mrcuda 536870912 2 514.350000 374.026000 140.324000 92.381000 47.943000
mrcuda 536870912 2 476.377000 335.287000 141.090000 92.102000 48.988000
mrcuda 536870912 2 489.361000 376.937000 112.424000 98.136000 14.288000
mrcuda 536870912 2 498.721000 380.916000 117.805000 103.509000 14.296000
mrcuda 536870912 2 511.321000 367.343000 143.978000 94.281000 49.697000
mrcuda 536870912 2 527.031000 378.977000 148.054000 99.205000 48.849000
mrcuda 1048576 4 0.991000 0.799000 0.192000 0.178000 0.014000
mrcuda 1048576 4 3.447000 3.249000 0.198000 0.185000 0.013000
mrcuda 1048576 4 1.065000 0.873000 0.192000 0.178000 0.014000
mrcuda 1048576 4 0.987000 0.795000 0.192000 0.179000 0.013000
mrcuda 1048576 4 0.992000 0.802000 0.190000 0.177000 0.013000
mrcuda 1048576 4 1.043000 0.855000 0.188000 0.176000 0.012000
mrcuda 1048576 4 0.985000 0.801000 0.184000 0.173000 0.011000
mrcuda 1048576 4 0.991000 0.798000 0.193000 0.183000 0.010000
mrcuda 1048576 4 3.022000 2.823000 0.199000 0.187000 0.012000
mrcuda 1048576 4 1.155000 0.956000 0.199000 0.186000 0.013000
mrcuda 2097152 4 1.717000 1.371000 0.346000 0.332000 0.014000
mrcuda 2097152 4 1.751000 1.408000 0.343000 0.329000 0.014000
mrcuda 2097152 4 1.677000 1.350000 0.327000 0.317000 0.010000
mrcuda 2097152 4 1.716000 1.375000 0.341000 0.329000 0.012000
mrcuda 2097152 4 1.676000 1.343000 0.333000 0.322000 0.011000
mrcuda 2097152 4 1.800000 1.450000 0.350000 0.338000 0.012000
mrcuda 2097152 4 1.693000 1.355000 0.338000 0.326000 0.012000
mrcuda 2097152 4 1.682000 1.346000 0.336000 0.324000 0.012000
mrcuda 2097152 4 1.744000 1.358000 0.386000 0.370000 0.016000
mrcuda 2097152 4 1.816000 1.476000 0.340000 0.326000 0.014000
mrcuda 4194304 4 3.550000 2.783000 0.767000 0.700000 0.067000
mrcuda 4194304 4 3.423000 2.711000 0.712000 0.654000 0.058000
mrcuda 4194304 4 3.583000 2.783000 0.800000 0.736000 0.064000
mrcuda 4194304 4 5.885000 4.187000 1.698000 1.548000 0.150000
mrcuda 4194304 4 3.529000 2.824000 0.705000 0.641000 0.064000
mrcuda 4194304 4 3.471000 2.729000 0.742000 0.680000 0.062000
mrcuda 4194304 4 3.353000 2.658000 0.695000 0.639000 0.056000
mrcuda 4194304 4 3.709000 2.923000 0.786000 0.716000 0.070000
mrcuda 4194304 4 3.498000 2.786000 0.712000 0.649000 0.063000
mrcuda 4194304 4 3.576000 2.859000 0.717000 0.656000 0.061000
mrcuda 8388608 4 6.594000 5.240000 1.354000 1.246000 0.108000
mrcuda 8388608 4 6.828000 5.378000 1.450000 1.344000 0.106000
mrcuda 8388608 4 7.040000 5.553000 1.487000 1.370000 0.117000
mrcuda 8388608 4 6.724000 5.343000 1.381000 1.275000 0.106000
mrcuda 8388608 4 6.614000 5.253000 1.361000 1.258000 0.103000
mrcuda 8388608 4 6.396000 4.886000 1.510000 1.245000 0.265000
mrcuda 8388608 4 6.952000 5.502000 1.450000 1.338000 0.112000
mrcuda 8388608 4 7.240000 5.683000 1.557000 1.452000 0.105000
mrcuda 8388608 4 6.699000 5.067000 1.632000 1.351000 0.281000
mrcuda 8388608 4 6.914000 5.456000 1.458000 1.338000 0.120000
mrcuda 16777216 4 9.951000 6.829000 3.122000 2.768000 0.354000
mrcuda 16777216 4 10.170000 7.047000 3.123000 2.760000 0.363000
mrcuda 16777216 4 9.775000 6.841000 2.934000 2.804000 0.130000
mrcuda 16777216 4 9.743000 6.632000 3.111000 2.718000 0.393000
mrcuda 16777216 4 10.116000 6.973000 3.143000 2.786000 0.357000
mrcuda 16777216 4 10.216000 7.036000 3.180000 2.815000 0.365000
mrcuda 16777216 4 9.959000 6.930000 3.029000 2.700000 0.329000
mrcuda 16777216 4 9.212000 6.275000 2.937000 2.747000 0.190000
mrcuda 16777216 4 10.096000 7.016000 3.080000 2.750000 0.330000
mrcuda 16777216 4 10.092000 6.990000 3.102000 2.775000 0.327000
mrcuda 33554432 4 23.026000 16.369000 6.657000 5.779000 0.878000
mrcuda 33554432 4 22.492000 15.710000 6.782000 5.887000 0.895000
mrcuda 33554432 4 23.226000 16.431000 6.795000 5.889000 0.906000
mrcuda 33554432 4 25.741000 18.500000 7.241000 6.957000 0.284000
mrcuda 33554432 4 21.224000 14.604000 6.620000 5.814000 0.806000
mrcuda 33554432 4 21.192000 14.223000 6.969000 6.006000 0.963000
mrcuda 33554432 4 20.961000 14.232000 6.729000 5.946000 0.783000
mrcuda 33554432 4 21.174000 14.554000 6.620000 5.793000 0.827000
mrcuda 33554432 4 23.943000 16.792000 7.151000 6.246000 0.905000
mrcuda 33554432 4 21.428000 14.482000 6.946000 6.002000 0.944000
mrcuda 67108864 4 39.010000 24.936000 14.074000 12.108000 1.966000
mrcuda 67108864 4 39.495000 26.352000 13.143000 12.575000 0.568000
mrcuda 67108864 4 43.984000 29.383000 14.601000 12.643000 1.958000
mrcuda 67108864 4 39.938000 26.091000 13.847000 11.866000 1.981000
mrcuda 67108864 4 40.975000 26.600000 14.375000 12.302000 2.073000
mrcuda 67108864 4 38.209000 23.900000 14.309000 12.148000 2.161000
mrcuda 67108864 4 40.407000 26.564000 13.843000 11.859000 1.984000
mrcuda 67108864 4 40.069000 26.113000 13.956000 11.819000 2.137000
mrcuda 67108864 4 46.632000 31.668000 14.964000 14.356000 0.608000
mrcuda 67108864 4 58.360000 40.507000 17.853000 17.235000 0.618000
mrcuda 134217728 4 111.745000 73.345000 38.400000 32.730000 5.670000
mrcuda 134217728 4 114.020000 71.420000 42.600000 26.520000 16.080000
mrcuda 134217728 4 122.724000 80.425000 42.299000 35.278000 7.021000
mrcuda 134217728 4 122.452000 81.276000 41.176000 35.542000 5.634000
mrcuda 134217728 4 104.327000 69.186000 35.141000 21.885000 13.256000
mrcuda 134217728 4 109.216000 68.779000 40.437000 24.722000 15.715000
mrcuda 134217728 4 120.443000 78.738000 41.705000 35.236000 6.469000
mrcuda 134217728 4 113.624000 72.038000 41.586000 24.675000 16.911000
